La Joya	8491
		27/10/1982	20.60   69.08	88.34	29372.40   1389.94
		14/10/1999	12.78   55.00	51.94	3158.94   450.91
		5/8/1994	2.63   36.73	99.97	42.02   118.95
		1/12/1989	14.57   58.23	78.29	19.73   11.81
		8/3/2002	25.56   78.00	88.69	3586.02   376.28
		16/2/1990	19.53   67.15	50.74	235.86   16.51
		19/9/2003	32.11   89.80	75.13	599.34   62.06
		17/2/1980	4.83   40.70	36.48	3313.98   325.75
		16/11/2000	21.65   70.97	10.59	21636.00   98.17
		23/4/1977	3.31   37.95	51.48	18.66   172.92
		7/1/2009	51.82   125.28	53.77	14763.60   1488.50
		22/1/1995	10.33   50.60	3.41	5194.80   797.72
		24/7/1989	24.56   76.21	46.77	23205.60   711.64
		7/10/2000	3.84   38.92	53.74	13363.20   1350.58
		12/9/1986	13.97   57.15	1.50	19245.60   1865.86
		5/7/1995	3.50   38.30	46.40	786.54   28.08
		27/4/1993	7.53   45.55	76.50	4280.40   1412.59
		5/4/1977	3.61   38.50	10.59	14.69   185.27
Villa Maria del Triunfo	5819
		26/1/1985	46.54   115.77	36.45	21376.80   634.51
		16/1/1990	21.88   71.39	74.64	7.80   104.89
		10/5/1984	4.22   39.60	8.90	3960.00   1223.30
		5/6/1980	1.83   35.29	84.98	2.78   110.25
		11/4/1999	42.47   108.45	20.95	35.07   198.70
		16/2/1978	4.72   40.50	10.40	919.26   286.73
		4/4/1986	8.65   47.57	10.40	7.19   158.44
		15/1/1993	1.43   34.57	5.30	3042.90   545.63
		6/1/2012	25.65   78.17	2.73	30387.60   1721.90
		10/7/1982	24.01   75.22	52.10	26568.00   1983.46
		5/3/2002	28.89   84.01	73.22	47.94   132.48
		6/8/1986	5.11   41.20	4.60	2319.48   479.77
		4/7/1991	16.88   62.38	88.31	17114.40   779.99
		8/8/1988	13.42   56.16	80.49	16819.20   358.09
San Silvestre de Cochan	8997
		8/2/1986	17.54   63.57	49.02	2.51   0.68
		12/10/1983	9.95   49.91	63.63	12740.40   443.81
		7/9/1982	10.50   50.90	30.19	44.22   62.16
		21/8/1984	27.82   82.08	65.78	49.80   5.16
		28/11/1979	2.95   37.31	29.53	24001.20   1476.64
		7/7/1986	-0.91   30.36	1.54	1444.50   71.89
		2/6/1977	0.59   33.06	1.83	10688.40   1607.58
		11/6/2004	17.87   64.17	69.68	87.18   547.32
		24/6/1993	0.00   32.00	91.76	22294.80   557.98
		16/10/2001	-0.99   30.22	67.22	33.23   187.98
		4/3/2001	14.93   58.87	66.16	3543.60   300.90
		1/3/2009	24.70   76.46	99.27	6012.00   54.46
		1/2/2004	14.11   57.40	10.90	20764.80   1240.02
		16/10/1980	34.21   93.58	2.00	28141.20   1622.61
		21/11/1992	9.73   49.51	60.86	12906.00   205.57
		21/6/2007	-0.53   31.05	59.45	3477.30   345.75
		21/7/1983	-0.16   31.72	78.32	2716.32   253.42
San Antonio de Chaclla	2348
		24/12/1985	1.88   35.38	21.80	11.88   5.42
		7/4/1978	1.49   34.69	49.76	28.72   139.81
		5/6/2004	1.12   34.02	83.35	6372.00   1328.19
		1/2/2014	0.30   32.54	24.47	54.37   32.39
